category,city,country,created_on,description,email,facebook,fax,houseno,id,lat,lon,name,name_ascii,opening_hours,phone,postcode,promoted_until,src_id,state,street,twitter,updated_on,website
transport,,ES,1424272829.000000,,,,,,18.000000,41.713569,2.830864,E. S. LES ALEGRIES,,Mo 06:00-23:00,,,,osm_node_287008347,,"AVDA LES ALEGRIES, 89-91",,1433782795.000000,http://www.cantaulina.com/
food,Trento,IT,1418985021.000000,,,,,10,19.000000,46.064759,11.150453,Pizzeria OroStube,,,,38123,,osm_node_288938675,,Via Sommarive,,1433782796.000000,http://www.orostube.it/
transport,,NL,1421950763.000000,,,,,,20.000000,52.377461,4.908089,StarBikes Rental,,,,,,osm_node_296044226,,,,1433782796.000000,
default,,CZ,1406348966.000000,,,,,174/24,21.000000,50.085943,14.416932,"Electronic Tour Guide Rental Point, Art Elephants souvenir & gift shop",,,,11000,,osm_node_296447848,,Karlova,,1433782796.000000,https://electronictourguide.com
default,Karlovy Vary,CZ,1387016981.000000,,,,,265/22,22.000000,50.233049,12.880841,Romana Dvořáková,,,+420 777 054 221,36009,,osm_node_296502502,,Anglická,,1433782797.000000,http://www.wellnessis.cz/
default,Praha,CZ,1382458998.000000,,,,,857/45,23.000000,50.076387,14.451979,Locus Workspace - Slezská | Coworkingové centrum,,,+420 732 501 105,13000,,osm_node_296511380,,Slezská,,1433782797.000000,http://www.locusworkspace.cz
default,Praha,CZ,1386581202.000000,,,,,108/51,27.000000,50.081679,14.419151,STARSKY DIGITAL AGENCY,,,+420 774 2222 94,11000,,osm_node_296636646,,Spálená,,1433782799.000000,http://starsky.cz/
default,Praha,CZ,1388703167.000000,,,,,2344/146,28.000000,50.077762,14.462939,GOURMETKAVA.CZ (výdejní místo na vyžádání emailem),,,+420728998243,13000,,osm_node_296698010,,Vinohradská,,1433782799.000000,http://gourmetkava.cz/
default,,CZ,1399892189.000000,,,,,484/63,31.000000,49.614236,17.293279,Salva_Quardia,,,+420739654431,77900,,osm_node_296740143,,Selské nám.,,1433782800.000000,http://salva-quardia.cz/
default,,CZ,1427992618.000000,,,,,822/7,34.000000,50.066920,14.398358,Studio Najbrt,,,,15000,,osm_node_296828886,,U Nikolajky,,1433782801.000000,http://www.najbrt.cz
shopping,,CZ,1386828545.000000,,vendula@jelinkova-designer.cz,,,1808/6,35.000000,50.109279,14.474780,Jeli-design | Interiérový design,,,+420777181221,18000,,osm_node_296843577,,Pivovarnická,,1433782802.000000,http://jeli-design.cz/
shopping,Helsinki,FI,1427135702.000000,,,,,4a,36.000000,60.162314,24.925909,HUG BikeShop,,,,,,osm_node_297640911,,Köydenpunojankatu,,1433782802.000000,
food,,GB,1393702018.000000,,,,,,37.000000,50.715649,-3.526299,The Port Royal,,,,EX2 4DR,,osm_node_299022190,,,,1433782802.000000,http://www.theportroyal.co.uk/
food,Madrid,ES,1415272878.000000,,,,,2,38.000000,40.426292,-3.689559,Hard Rock Café,,Mo-Su 12:00-02:00,+34 91 436 4340,28046,,osm_node_300750922,,Paseo de la Castellana,,1433782803.000000,http://www.hardrock.com/locations/cafes3/cafe.aspx?LocationID=40&MIBEnumID=3
lodging,Madrid,ES,1415269399.000000,,pre@hthoteles.com,,,4,39.000000,40.429232,-3.688155,Petit Palace President Castellana,,,+34 915771951,28001,,osm_node_300751458,,Calle Marqués de Villamagna,,1433782803.000000,http://www.petitpalace.com/hotel-president-castellana-en-madrid/
food,Sint-Stevens-Woluwe,BE,1395080051.000000,,alicehomemade@gmail.com,,,265,40.000000,50.868773,4.454467,Alice Homemade,,11-15,,1932,,osm_node_305362399,,Leuvensesteenweg,,1433782803.000000,
food,Berlin,DE,1365929649.000000,,info@room77.de,,,77,41.000000,52.493019,13.417953,Room 77,,,+49-30-31102260,10967,,osm_node_310268912,,Graefestraße,,1433782804.000000,http://www.room77.de/
food,,GB,1421927553.000000,,,,,,258.000000,51.525577,-0.087614,Nin Com Soup,,,,,,osm_node_1694591554,,,,1433782886.000000,
default,Praha,CZ,1389181307.000000,,customerservice@justicecaps.com,,,95/74,29.000000,50.095073,14.453425,Justiz-Caps,,,+420 774 133 116,18600,,osm_node_296718724,,Pobřežní,,1435163304.000000,http://justicecaps.com/
food,Cambridge,GB,1370786241.000000,,,,,1,1.000000,52.198925,0.139051,Devonshire Arms,,,+44 1223 316610,CB1 2BH,,osm_node_25285250,,Devonshire Road,,1433782789.000000,http://www.individualpubs.co.uk/devonshire/
lodging,Nelson Bay,AU,1412221903.000000,,psml@bigpond.com,,,44,2.000000,-32.718767,152.150097,Port Stephens Motor Lodge,,,+61 2 49813366,2315,,osm_node_25954111,New South Wales,Magnus Street,,1433782790.000000,http://www.portstephensmotorlodge.com.au/
shopping,Logansport,US,1465956215.000000,Computer Repair & IT Services,info@stack-tech.com,StackTech,,1631,8226.000000,40.752564,-86.346627,Stack-Tech Computer Repair,Stack-Tech Computer Repair,,(574) 992-8450,46947,,,Indiana,Smead Street,StackTech,1465956215.000000,http://stack-tech.com
cafe,,US,1399646864.000000,,,,,,3928.000000,37.958075,-122.499287,Nova Rosti,,,,,,osm_node_2845221347,California,,,1433784341.000000,
default,Nea Herakleia,GR,1479749583.000000,"IT Solutions, Web hosting, Software development, Service in Halkidiki & Thessaloniki",info@acss.gr,,,,8865.000000,40.322516,23.045626,Advanced Computing ltd,Advanced Computing ltd,,6973242599 - 2312201102,63080,,,,,,1479749583.000000,http://acss.gr
food,Hannover,DE,1427731152.000000,,,,,22,46.000000,52.367091,9.716873,Härtekrug,,,,30449,,osm_node_322811321,,Falkenstraße,,1433782806.000000,
default,Hannover,DE,1430907077.000000,,,,,50,47.000000,52.370288,9.735029,Identitätsstiftung GmbH,,,,30159,,osm_node_322835095,,Karmarschstraße,,1433782806.000000,
default,,US,1386095442.000000,,,,,,50.000000,39.986389,-83.005556,Columbus Worship Center,,,,,,osm_node_357532277,Ohio,,,1433782807.000000,
atm,Warszawa,PL,1418192330.000000,,,,,47,49.000000,52.231372,21.003226,Bobby Burger,,,,,,osm_node_346403259,,Emilii Plater,,1433782807.000000,
default,,US,1383436754.000000,,,,,71,51.000000,41.404722,-74.325000,Saint John The Evangelist Roman Catholic Church,,,,,,osm_node_357645934,New York,Murray Avenue,,1433782808.000000,http://stjohnsgoshen.com/
default,Baton Rouge,US,1385449366.000000,,,,,10311,52.000000,30.409483,-91.068455,Dezins Interactive,,,225-615-8358,70809,,osm_node_358390476,Louisiana,Jefferson Hwy,,1433782808.000000,http://DezinsInteractive.com
default,Shawnee,US,1385566742.000000,,,,,7825,53.000000,38.985900,-94.860600,Mill Creek Community Church,,,+1 913-441-4444,66227,,osm_node_358643732,Kansas,Gleason Road,,1433782809.000000,http://www.mymillcreek.com/
default,,US,1385055371.000000,,,,,,54.000000,33.608786,-117.711416,Color-Glide ColorGlidePro.com - paint brush replacement  product,,,,,,osm_node_358852045,California,,,1433782809.000000,http://colorglidepro.com
attraction,St. Petersburg,US,1408723158.000000,,,,,,55.000000,27.773935,-82.630599,Saint Petersburg Museum of History,,,,33701,,osm_node_367827524,Florida,2nd Ave NE,,1433782809.000000,
default,San Antonio,US,1397232908.000000,,,,,8746,56.000000,29.524169,-98.568719,Law Office of Michael McLees,,,210-595-9999,78240,,osm_node_368165196,Texas,Wurzbach,,1433782810.000000,
shopping,,US,1409361742.000000,,,,,2103,60.000000,37.794986,-122.423478,Laundry Locker Kiosk,,,,,,osm_node_387251061,California,Van Ness Avenue,,1433782811.000000,https://laundrylocker.com
cafe,Toronto,CA,1403569846.000000,,,,,600,61.000000,43.664800,-79.413004,Snakes & Lattes,,Mo-Su 11:00-02:00,(647) 342 9229,M6G 1K4,,osm_node_387456095,Ontario,Bloor Street West,,1433782812.000000,http://www.snakesandlattes.com/
default,,KR,1410875539.000000,,,,,,58.000000,36.782283,126.457458,제생한의원 (Jesaeng Oriental Medicine Clinic),,,0416698811,,,osm_node_368779860,,,,1433782811.000000,http://goo.gl/wTU6b0
shopping,San Francisco,US,1420665190.000000,,,,,302,65.000000,37.767851,-122.422316,Skunk Funk,,,(415) 829-3298,94103,,osm_node_442258115,California,Valencia Street,,1433782813.000000,http://shopskunkfunk.com
default,San Francisco,US,1420762098.000000,,,,,3233,48.000000,37.788279,-122.446192,Pet Camp Cat Safari,,,(415) 567-0700,94115,,osm_node_332787284,California,Sacramento Street,,1433782807.000000,http://petcamp.com
sports,Milano,IT,1374226786.000000,,,,,6,62.000000,45.475254,9.139410,Yogarte,,,,,,osm_node_399359264,,Via Mariotto Albertinelli,,1433782812.000000,http://yogarte.it
food,,AG,1415731770.000000,,info@Anas.ag,,,,63.000000,17.156511,-61.849559,Ana's on the beach,,Mo-Su 10:00-01:00,+1-268-562-8562,,,osm_node_412322869,,,,1433782812.000000,http://www.Anas.ag/
shopping,San Mateo,US,1420753066.000000,,,,,1212,73.000000,37.555574,-122.318096,Cyclepath,,,(650) 341-0922,94402,,osm_node_454929330,California,S El Camino Real,,1433782817.000000,http://cyclepathsm.com
nightlife,Toronto,CA,1402686557.000000,,,,,379,57.000000,43.656030,-79.398947,Grossman's Tavern,,Mo-Su 11:00-02:00,,,,osm_node_368384751,Ontario,Spadina Avenue,,1433782810.000000,
food,,GB,1390247659.000000,,,,,,67.000000,51.476180,-0.022661,The Birds Nest,,,,,,osm_node_445409811,,,,1433782814.000000,
default,Amsterdam,NL,1387085629.000000,,,,,499,68.000000,52.365546,4.891777,FreeJobz Amsterdam,,,,1017BT,,osm_node_447564211,,Herengracht,,1433782814.000000,http://freejobz.nl/
transport,,IT,1401488003.000000,,,,,,69.000000,46.206582,8.319078,Tamoil,,,,,,osm_node_448941929,,,,1433782815.000000,
shopping,Olomouc,CZ,1424379744.000000,,,,,279/5,70.000000,49.594660,17.242257,Vlasové studio Petra Nowaková,,,,77900,,osm_node_449715694,,Krapkova,,1433782815.000000,https://www.facebook.com/pages/Vlasov%C3%A9-studio-Petra-Nowakov%C3%A1/1498933813716230
default,,CZ,1404836726.000000,,,,,1392/2,71.000000,50.099610,14.371861,AntiRadary.NET s.r.o.,,,,16000,,osm_node_449731332,,Na Sekyrce,,1433782816.000000,http://www.antiradary.net
default,Olomouc,CZ,1415875844.000000,,,,,120/24,72.000000,49.606325,17.281797,Gappa Solutions s.r.o.,,,,77900,,osm_node_449786110,,Chválkovická,,1433782816.000000,http://www.gappa.cz/
default,Charlotte,US,1405452629.000000,,,,,2200,76.000000,35.274346,-80.821511,iTek Graphics,,,704-357-6002,28206,,osm_node_470731239,North Carolina,Interstate North Dr,,1433782818.000000,http://www.itekgraphics.com
food,Amersfoort,NL,1383680703.000000,,,,,71,74.000000,52.160142,5.363606,"snackbar ""De Hoefslag""",,Tu-Su 12:00-23:00,033-88 91 884,3812 VW,,osm_node_457564795,,Violenstraat,,1433782817.000000,http://snackbardehoefslag.nl/
atm,Auckland,NZ,1390252903.000000,,,,,2,75.000000,-36.859909,174.753108,The Dog's Bollix Pub (BTC ATM),,,09 378 1845,,,osm_node_462204266,,Newton Road,,1433782818.000000,https://www.facebook.com/pages/The-Dogs-Bollix/335625706564286
food,Cocoa Beach,US,1401472311.000000,,,,,1275,79.000000,28.333289,-80.611025,Saim Orchid Japanese Restaraunt,,10am-11pm M-F,321-783-4545,32931,,osm_node_477126718,Florida,North Atlantic Avenue,,1433782820.000000,http://siamorchidthaisushi.com/
nightlife,,BE,1428009778.000000,,,,,8,78.000000,51.043584,3.725407,Pi-nuts,,,,9000,,osm_node_474342771,,Graaf Arnulfstraat,,1433782819.000000,
food,,US,1397301102.000000,,,,,3009,82.000000,30.296746,-97.741659,Thai Kitchen,,,(512)474-2575,,,osm_node_534454296,Texas,Guadalupe Street,,1433782821.000000,http://thaikitchentx.com/
default,Middleton Cheney,GB,1416404770.000000,,,,,133,80.000000,52.071719,-1.275953,Mansion Hill Veterinary Practice,,,+441295712110,OX17 2PP,,osm_node_477206722,,Main Road,,1433782820.000000,http://www.mansionhillvets.co.uk
shopping,,US,1429857148.000000,,,,,,84.000000,40.687393,-73.969231,Brooklyn Flea,,"Saturdays & Sundays, 10am-4pm",,,,osm_node_552255010,New York,,,1433782821.000000,
nightlife,Tours,FR,1417187458.000000,,,,,106,83.000000,47.396149,0.691889,Le Gros Bar,,,,37000,,osm_node_549888989,,Rue Colbert,,1433782821.000000,
grocery,Dublin 2,IE,1430919444.000000,,,,,5,85.000000,53.343652,-6.264294,Krust Bakery,,,,,,osm_node_559854617,,George's Street Great South,,1433782822.000000,
shopping,Fitzroy,AU,1384001968.000000,,,,,330,66.000000,-37.797260,144.978844,Polyester Books,,,+61394195223,3065,,osm_node_445206218,Victoria,Brunswick Street,,1433782814.000000,http://polyester.com.au/
food,Hannover,DE,1422368371.000000,,,,,10,44.000000,52.372332,9.707445,Das kleine Museum,,18:00+,05112153979,30451,,osm_node_313120747,,Grotestraße,,1433782805.000000,
default,Chenab Nagar,PK,1483131024.000000,,,,,,9060.000000,31.746799,72.919199,KAMRAN CHATTHA,KAMRAN CHATTHA,,,35460,,,,St-49,,1483131024.000000,
default,Chenab Nagar,PK,1483131033.000000,,,,,,9061.000000,31.752000,72.919478,KAMRAN CHATTHA,KAMRAN CHATTHA,,,35460,,,,College Road,,1483131033.000000,
default,San Mauro Torinese,IT,1412285393.000000,,,,,16,86.000000,45.107565,7.750883,Computel,,,,10099,,osm_node_563683339,,Via Aosta,,1433782822.000000,
default,Simeria,RO,1401431194.000000,,,,,6,88.000000,45.848997,23.013284,Viofarm,,07:00 - 23:00,,335900,,osm_node_564747669,,Piața Unirii,,1433782823.000000,
grocery,,DE,1382533057.000000,,,,,,89.000000,49.869699,8.650097,Grow,,,,,,osm_node_566637465,,,,1433782823.000000,http://growshopda.de/
food,Basel,CH,1393945321.000000,,,,,12,90.000000,47.548987,7.586561,Tacoteca,,,,4051,,osm_node_569316834,,Viaduktstrasse,,1433782824.000000,
attraction,,TW,1383742237.000000,,,,,,91.000000,25.018125,121.574584,Jodie's Kitchen Cooking School,,,,,,osm_node_569950096,,,,1433782824.000000,http://kitchen.j321.com
lodging,Winnipeg,CA,1405578271.000000,,,,,1750,105.000000,49.897371,-97.203883,Sandman Hotel & Suites Winnipeg Airport,,,204 775 7263,R3H 0C7,,osm_node_603401072,Manitoba,Sargeant Avenue,,1433782829.000000,http://www.sandmanhotels.ca/hotels/winnipeg/
default,San Diego,US,1392330055.000000,,,,,4120,95.000000,32.949980,-117.227693,DiegoDev Group,,,,92130,,osm_node_596070949,California,Via Candidiz,,1433782826.000000,
default,Oceanside,US,1386790407.000000,,,,,208,96.000000,33.196725,-117.378883,Ares Armor,,,7606502737,92054,,osm_node_596101157,California,N Freeman St,,1433782826.000000,http://aresarmor.com/
default,Carlsbad,US,1388298618.000000,,,,,2755,97.000000,33.164004,-117.348439,Heritage Senior Care,,,,92008,,osm_node_596152437,California,Jefferson St,,1433782826.000000,
default,San Diego,US,1398989281.000000,,,,,5765,98.000000,32.764340,-117.188709,Invincible Creative,,,,92110,,osm_node_596189128,California,Friars Rd #183,,1433782827.000000,http://www.invinviblecreative.com
default,San Diego,US,1386205120.000000,,spinityourself@gmail.com,,,911,99.000000,32.795984,-117.252954,Villalobos SD,,,+1-310-922-7166,92109,,osm_node_596421840,California,Hornblend St,,1433782827.000000,http://www.villalobossd.com/book-villalobos-now/
default,San Diego,US,1413057081.000000,,,,,1440,101.000000,32.799441,-117.243776,Computer and Ink Store,,,,92109,,osm_node_596671747,California,Garnet Av,,1433782828.000000,
default,San Marcos,US,1386206225.000000,,,,,162,102.000000,33.147134,-117.200314,San Marcos Dental Center,,,,92078,,osm_node_596775978,California,Rancho Santa Fe Rd,,1433782828.000000,http://www.SanMarcosDentalCenter.com
transport,Twin Mountain,US,1384022889.000000,,,,,P.O. Box 308,111.000000,44.274445,-71.540309,Irving,,,603-846-5552,03595,,osm_node_660838616,New Hampshire,130 Route 3 North,,1433782832.000000,
food,,US,1395401212.000000,,,,,1304,124.000000,39.192253,-96.609120,Chens Hunam Chinese Restaurant,,,785-539-8888,,,osm_node_700433709,Kansas,Westloop Place,,1433782836.000000,http://hunamrestaurant.com/
food,Zürich,CH,1389103279.000000,,,,,7,104.000000,47.371233,8.543802,Kafi Schoffel,,,,8001,,osm_node_600465273,,Schoffelgasse,,1433782829.000000,https://www.facebook.com/kafischoffel
lodging,Vancouver,CA,1405584310.000000,,,,,180,107.000000,49.278886,-123.112961,Sandman Hotel Vancouver City Centre,,,604 681 2211,V6B 4P4,,osm_node_638750749,British Columbia,West Georgia Street,,1433782830.000000,http://www.sandmanhotels.ca/hotels/vancouver-city-centre/
food,Köln,DE,1429988771.000000,,,,,46,106.000000,50.936998,6.961164,Oscar Lounge,,,,50667,,osm_node_614215772,,Heumarkt,,1433782830.000000,http://oscarlounge.de/
cafe,Vancouver,CA,1377270448.000000,,,,,900,108.000000,49.280724,-123.122489,Waves Coffee House,,,,V6Z 2M4,,osm_node_638771020,British Columbia,Howe Street,,1433782831.000000,http://wavescoffee.com/
default,Chenab Nagar,PK,1483131048.000000,,,,,,9062.000000,31.758824,72.911410,KAMRAN CHATTHA,KAMRAN CHATTHA,,,35460,,,,Aqsa Road,,1483131048.000000,
food,,US,1397418338.000000,,,,,1906,94.000000,30.549921,-97.853323,Great Wall Express,,,512-528-8892,,,osm_node_588070859,Texas,South Bagdad Road,,1433782825.000000,http://greatwallleander.com/
default,Chenab Nagar,PK,1483131059.000000,,,,,,9063.000000,31.758039,72.917365,KAMRAN CHATTHA,KAMRAN CHATTHA,,,35460,,,,Aqsa Road,,1483131059.000000,
default,Zásada,CZ,1384862630.000000,,,,,348,112.000000,50.697349,15.270206,Royal Bohemian Crystal,,,,46825,,osm_node_664069863,,,,1433782832.000000,http://www.sultancrystal.com/
lodging,London,GB,1394004656.000000,,,,,261-263,113.000000,51.529010,-0.120071,Clink 261,,,+44 (0)20 7713 7789,WC1X 8QT,,osm_node_665074363,,Gray's Inn Road,,1433782832.000000,http://www.clinkhostels.com/
default,Graz,AT,1407761721.000000,,realraum@realraum.at,,,15,114.000000,47.065579,15.450577,realraum,,,+43 780 700 888 524,8010,,osm_node_668061696,,Brockmanngasse,,1433782833.000000,http://www.realraum.at
shopping,,NO,1404740055.000000,,,,,,115.000000,59.444571,8.007551,Camping Dalen,,,,,,osm_node_671863535,,,,1433782833.000000,
default,London,GB,1385968603.000000,,,,,152,116.000000,51.527184,-0.088663,Himalayan People,,,,EC1V 2NX,,osm_node_672847802,,City Road,,1433782833.000000,http://www.himalayanpeople.com/
default,Přepychy,CZ,1418472309.000000,,,,,197,117.000000,50.243320,16.105936,Xcovers.cz,,,+420 733 308 038,51732,,osm_node_673468720,,Přepychy,,1433782834.000000,http://xcovers.cz
food,,SE,1388249810.000000,,,,,,118.000000,59.313525,18.085037,Dionysos,,,,,,osm_node_675127161,,,,1433782834.000000,http://www.dionysos.se/
nightlife,,DK,1426601770.000000,,,,,,119.000000,55.677150,12.569102,Cafè Guldhornene,,,,,,osm_node_687312669,,,,1433782834.000000,
nightlife,København K,DK,1426601770.000000,,,,,18,120.000000,55.677385,12.569457,Heidi's Bier Bar,,,,1456,,osm_node_687313455,,Vestergade,,1433782835.000000,
food,,LA,1402055299.000000,,,,,,121.000000,19.888119,102.140179,Utopia Bar & Restaurant,,08:00-23:30,,,,osm_node_689779359,,,,1433782835.000000,http://utopialuangprabang.com/
default,,CZ,1394311692.000000,,,,,1327/29d,122.000000,49.917435,17.919303,CA Radost,,,,74706,,osm_node_697501282,,Joži Davida,,1433782836.000000,http://www.ca-radost.cz
default,London,GB,1414337601.000000,,,,,32,123.000000,51.517669,-0.134314,CeX,,Mo-Sa 10:00-19:00; Su 10:30-16:30,,W1T 1JJ,,osm_node_699943022,,Rathbone Place,,1433782836.000000,https://uk.webuy.com/stores/store_details.php?branchId=2#.VE0TePmG-ao
default,Chenab Nagar,PK,1483131113.000000,,,,,,9064.000000,31.771375,72.891541,KAMRAN CHATTHA,KAMRAN CHATTHA,,,,,,,Sargodha - Faisalabad Road,,1483131113.000000,
default,Milano,IT,1390325167.000000,,,,,4,125.000000,45.501935,9.137048,Juniorbit Sas - Informatica,,,+39 02 33431871,20156,,osm_node_705704820,,Via Mario Pannunzio,,1433782837.000000,http://juniorbit.it/
food,Årsta,SE,1405180962.000000,,,,,39,127.000000,59.296126,18.053015,Sushibar Satzuma,,Mo-Fr 11:00-21:00;Sa 12:00-21:00,08-722 23 20,12052,,osm_node_715701186,,Årstavägen,,1433782838.000000,https://www.facebook.com/SushibarSatzuma
cafe,,CZ,1389354644.000000,,,cukrarna.alchymista,,,87.000000,50.100887,14.417178,Alchymista,,mo-fr 7:30 - 21:30 ; sa-su 10:30 - 21:30,,,,osm_node_564625834,,,,1435161796.000000,http://www.alchymista.cz
lodging,"Calgary, AB",CA,1405576634.000000,,,,,125,92.000000,51.085109,-114.208511,Sandman Hotel & Suites Calgary West,,,403 288 6033,T3B 3R6,,osm_node_577327558,Alberta,Bowridge Crescent NW,,1433782824.000000,http://www.sandmanhotels.ca/hotels/calgary-west/
default,Farooka,PK,1483131120.000000,,,,,,9065.000000,31.722327,72.848969,KAMRAN CHATTHA,KAMRAN CHATTHA,,,,,,,Sahiwal Road,,1483131120.000000,
default,Cluj-Napoca,RO,1413043777.000000,,,,,6,129.000000,46.771680,23.589837,Chaos Cowork Cluj,,24/7,+40 769 641 101,400105,,osm_node_736620004,,Strada Regele Ferdinand,,1433782838.000000,http://chaoscc.ro/
default,Toronto,CA,1409042966.000000,,,,,389,135.000000,43.693190,-79.342321,Benjamin Sports Inc.,,,,M4J 3S2,,osm_node_803534816,Ontario,Donlands Avenue,,1433782841.000000,http://benjaminsports.com/
default,St. Petersburg,US,1418693041.000000,,,,,277,144.000000,27.771386,-82.636867,Lucky Dill,,,(727) 895-5859,33701,,osm_node_919855102,Florida,Central Ave,,1433782844.000000,http://www.luckydillofstpete.com/
grocery,,GB,1398233116.000000,,,,,261,132.000000,53.367580,-1.497067,J. H. Mann - Fishmonger,,,0114 268 2225,,,osm_node_768161941,,Sharrow Vale Road,,1433782840.000000,http://www.wedeliverlocal.co.uk/jhman-sheffield
cafe,Glasgow,GB,1389704296.000000,,,,,21-23,133.000000,55.831806,-4.279617,The Brooklyn Café,,,+44 141 632 3427,,,osm_node_780587349,,Minard Road,,1433782840.000000,https://www.facebook.com/Brooklyn1931
default,,ES,1432506902.000000,,,,,,134.000000,41.976184,2.819892,Farmàcia Simon Bombi,,,,,,osm_node_796750192,,,,1433782840.000000,
lodging,Kelowna BC,CA,1405579918.000000,,,,,2130,163.000000,49.882441,-119.440302,Sandman Hotel & Suites Kelowna,,,250 860 6409,V1Y 6G8,,osm_node_1014215768,British Columbia,Harvey Ave,,1433782852.000000,http://www.sandmanhotels.ca/hotels/kelowna/
lodging,Utecht,DE,1389222642.000000,,Dieter-Apolony@web.de,,+49(4541)870392,33,136.000000,53.767870,10.768010,Gästehof Apolony,,,+49(38875)22610,19217,,osm_node_828790406,,Dorfstraße,,1433782841.000000,http://www.gaeste-hof-apolony.de/
lodging,Bohdíkov,CZ,1385501721.000000,,,,,ev.18,137.000000,50.018077,16.879687,Chalupa Komňátka,,,,78964,,osm_node_840018870,,,,1433782841.000000,http://www.komnatka.cz
default,Karimpur,PK,1483131135.000000,,,,,,9066.000000,31.825648,73.068008,KAMRAN CHATTHA,KAMRAN CHATTHA,,,,,,,,,1483131135.000000,
food,,FI,1405258104.000000,,,,,12,139.000000,61.499197,23.754780,Vegemesta,,,,,,osm_node_849122931,,Puutarhakatu,,1433782842.000000,http://vegemesta.com
attraction,,GB,1401468698.000000,,,,,,140.000000,54.435821,-2.964236,University of Cumbria Ambleside Campus,,,,,,osm_node_849453606,,,,1433782843.000000,
cafe,,DE,1422638677.000000,,boubin@boubin.info,,,,142.000000,48.577455,13.470415,Burgcafé,,,+49 851 49 33 519,,,osm_node_895520939,,,,1433782843.000000,http://www.cafe-oberhaus.de/
